M16             = -8.11932e-22     +/- 1.108e-21    (136.5%)
M26             = -5.20717e-21     +/- 4.239e-21    (81.4%)
M36             = -5.98988e-22     +/- 7.114e-22    (118.8%)
M46             = -1.90366e-21     +/- 1.519e-21    (79.78%)
M56             = -4.73701e-21     +/- 2.817e-22    (5.948%)
M66             = -1.27501e-20     +/- 1.69e-21     (13.26%)
Q16             = 0.0118588        +/- 0.01453      (122.6%)
Q26             = 0.0150212        +/- 0.01214      (80.81%)
Q36             = -0.000225883     +/- 0.01014      (4490%)
Q46             = 0.00909178       +/- 0.004033     (44.36%)
Q56             = 0.0489036        +/- 0.003674     (7.512%)
Q66             = 0.091426         +/- 0.01354      (14.81%)
