M15             = -6.69814e-22     +/- 5.497e-21    (820.6%)
M25             = 3.65861e-20      +/- 3.357e-20    (91.76%)
M35             = 3.33716e-21      +/- 7.544e-21    (226%)
M45             = 1.06251e-20      +/- 1.572e-20    (147.9%)
M55             = 1.42996e-20      +/- 7.887e-23    (0.5515%)
M65             = 3.00601e-20      +/- 2.113e-22    (0.7029%)
Q15             = 0.0125929        +/- 0.0688       (546.3%)
Q25             = -0.110344        +/- 0.06621      (60%)
Q35             = -0.014626        +/- 0.07998      (546.8%)
Q45             = -0.0128189       +/- 0.06824      (532.4%)
Q55             = -0.180141        +/- 0.00591      (3.281%)
Q65             = -0.171106        +/- 0.007986     (4.667%)
